序号,所用时间,1、你有计划/打算在大学生活中去培养一些艺术方面的爱好或者特长吗,2、你现在有艺术方面的爱好或者特长吗,3、如果你现在可以拿到任意一种乐器，你想玩儿什么,4、如果你现在拿到一种乐器，让你随意玩/探索，你会不知所措吗,5、如果现在你拿到了一张白纸，需要你随意画画，你会有画什么的想法吗,6、你会对什么形式或者类别的艺术活动产生冲动,7、您现在渴望抽出时间去参与艺术活动吗,8、你幻想过自己以某种艺术家的生活方式过日子吗,9、您的年级,10、您的专业类别,11、您的性别,12、你日常有什么与艺术相关的活动，休闲方式或小兴趣来调节你的状态
1,16秒,无,无,茫然,不会,没有,茫然,不会,无,大四以上,非艺术类专业,女,无
2,154秒,有,有,我想玩〖箫、琵琶、鼓、扬琴〗,会,没有,会〖演唱会、话剧、音乐剧、电影、展览〗,渴望,幻想过这种生活〖如果我有无数可以挥霍的金钱，我一定会把家里装修成几个大工作室〗,大二,艺术类专业,女,听歌、看展、看各种电影、看各种视频、看书、做手工
3,57秒,有,有,我想玩〖吉他〗,不会,没有,会〖演奏会〗,渴望,无,大二,非艺术类专业,男,练吉他，听歌
4,56秒,有,有,我想玩〖吉他〗,会,没有,会〖舞蹈〗,渴望,幻想过这种生活〖自由自在〗,大三,非艺术类专业,女,艺术团，听音乐会
5,78秒,有,有,我想玩〖小提琴〗,不会,我想画〖表情包〗,茫然,渴望,无,大二,非艺术类专业,女,看剧睡觉唱歌跳舞
6,129秒,有,无,我想玩〖吉他〗,不会,没有,茫然,不会,无,大二,非艺术类专业,男,无
7,58秒,有,无,我想玩〖吉他〗,不会,没有,茫然,渴望,无,大二,非艺术类专业,男,写字
8,70秒,有,有,我想玩〖大提琴〗,不会,我想画〖无数个小叶子〗,会〖行为艺术〗,渴望,幻想过这种生活〖旅行作家〗,大四,艺术类专业,女,画一些无意识的漫画
9,55秒,无,有,我想玩〖钢琴〗,不会,没有,会〖摄影〗,渴望,无,大二,非艺术类专业,男,看书拍照
10,168秒,有,有,我想玩〖尤克里里〗,不会,我想画〖画桌面的花〗,会〖摄影〗,渴望,无,大三,非艺术类专业,女,练字，画水彩，去花店精心挑选几支花插瓶，拍照，做小手工DIY
11,161秒,有,有,我想玩〖古琴〗,不会,我想画〖线条〗,会〖文艺、音乐、绘画〗,渴望,幻想过这种生活〖诗人、音乐家〗,大三,非艺术类专业,男,写诗、跳舞、读书、听钢琴曲、学习乐器演奏、参观艺术馆
12,44秒,无,无,茫然,不会,没有,茫然,不会,无,大二,非艺术类专业,男,无
13,118秒,有,无,我想玩〖古琴〗,不会,我想画〖可可爱爱的小女孩或小男孩〗,会〖画画，乐器，舞蹈〗,渴望,幻想过这种生活〖美好而享受〗,大一,非艺术类专业,女,画画
14,104秒,有,无,茫然,会,我想画〖失恋的那一刻〗,会〖绘画〗,不会,幻想过这种生活〖画家〗,大二,非艺术类专业,男,玩游戏，设计游戏
15,81秒,有,有,我想玩〖钢琴〗,不会,我想画〖海〗,会〖音乐〗,不会,幻想过这种生活〖音乐家〗,大二,非艺术类专业,女,听音乐
16,96秒,有,有,我想玩〖架子鼓〗,会,我想画〖画樱花〗,会〖文学〗,渴望,幻想过这种生活〖以小说家的身份〗,大一,非艺术类专业,女,看书，听音乐，逛展览书店
17,115秒,有,有,我想玩〖古筝〗,不会,我想画〖风景或可爱的小动物〗,会〖绘画音乐舞蹈〗,渴望,幻想过这种生活〖有一间舞蹈房，落地窗，大镜子，窗边放我的琴们〗,大二,非艺术类专业,女,玩乐器，听音乐会，选艺术公选，跳舞
18,61秒,有,无,茫然,会,没有,茫然,不会,无,大二,非艺术类专业,女,听音乐
19,127秒,有,有,我想玩〖手碟〗,会,没有,会〖照片，视频，服装〗,渴望,无,大二,非艺术类专业,女,上课摸鱼
20,204秒,有,无,我想玩〖吉他〗,会,没有,茫然,渴望,无,大二,非艺术类专业,男,写毛笔字，临摹一下碑文
21,75秒,有,有,我想玩〖琵琶〗,不会,我想画〖人物像〗,会〖音乐〗,不会,无,大一,非艺术类专业,男,无
22,37秒,无,无,茫然,会,没有,会〖觉得舒服〗,渴望,无,大三,非艺术类专业,男,听歌
23,296秒,有,有,茫然,不会,我想画〖人〗,会〖绝大多数的形式〗,渴望,幻想过这种生活〖多少都是想过的〗,大二,非艺术类专业,男,欣赏音乐
24,319秒,有,有,我想玩〖风琴〗,会,我想画〖二次元的帅哥们〗,会〖唱歌〗,渴望,无,大一,非艺术类专业,女,练舞，唱歌
25,41秒,有,无,茫然,会,没有,茫然,渴望,无,大二,非艺术类专业,男,无
26,48秒,有,有,茫然,会,没有,茫然,渴望,无,大一,非艺术类专业,男,无
27,493秒,有,有,我想玩〖架子鼓〗,不会,我想画〖各种颜色在纸上乱泼〗,会〖如果摇滚/city pop和hiphop之类的live算的话；或者一些行为艺术；或者一些新奇的展……总之就是一些可以让我很沉静/很发散地思考的东西，要么就是可以让我很冲动很兴奋可以调动肢体的东西〗,渴望,幻想过这种生活〖总之 自由自在 浪漫就好〗,大二,非艺术类专业,女,摄影 看live在街上乱转 随便上一辆公车或是地铁然后在随便一站下车在小巷子里瞎拍  在寝室没人的时候外放喜欢的歌然后跟着律动
28,64秒,有,无,我想玩〖钢琴〗,会,没有,会〖行为艺术〗,渴望,无,大四,非艺术类专业,男,看展
29,258秒,有,有,我想玩〖贝斯〗,不会,我想画〖大胸美少女东北末世漂流记〗,会〖最近尤其雕塑〗,不会,幻想过这种生活〖写歌〗,大四,非艺术类专业,女,打音游
30,435秒,有,有,我想玩〖竖琴〗,不会,我想画〖近期烦乱状态、对自己影响最大的一件事〗,会〖拼贴〗,渴望,幻想过这种生活〖用多种自己喜欢的方式表达自己的想法 有意义也好杂乱也好  能更深入更有温度的探索感受这个世界 而不是与她越来越远〗,大一,非艺术类专业,女,摄影 修图 拼贴 涂画 练字 欣赏拼贴 欣赏穿搭 欣赏画画 欣赏c4d作品 看展
31,48秒,有,有,茫然,会,没有,茫然,渴望,无,大一,非艺术类专业,女,无
32,140秒,有,有,我想玩〖爵士鼓，琵琶〗,不会,我想画〖蛙和鱼〗,会〖电影〗,渴望,无,大四,非艺术类专业,女,音乐会，书法
33,78秒,有,有,我想玩〖吉他〗,不会,没有,会〖音乐〗,渴望,无,大一,非艺术类专业,女,听歌，唱歌，音乐剧
34,83秒,有,有,茫然,不会,没有,会〖乐队现场〗,渴望,无,大一,非艺术类专业,女,听歌 看live 看展子
35,92秒,有,有,我想玩〖管子〗,不会,没有,会〖任何〗,渴望,无,大二,非艺术类专业,女,无
36,95秒,有,有,我想玩〖钢琴〗,会,我想画〖风景〗,会〖文字、舞蹈〗,渴望,幻想过这种生活〖文字〗,大二,非艺术类专业,女,电影、阅读、看很喜欢的视频up主
37,146秒,无,有,我想玩〖我全都要〗,不会,我想画〖老八〗,会〖哲学〗,不会,幻想过这种生活〖士官长〗,大一,非艺术类专业,男,爆炸
38,185秒,有,有,我想玩〖小提琴〗,不会,我想画〖人物肖像〗,会〖篆刻〗,渴望,幻想过这种生活〖画家+音乐家〗,大三,非艺术类专业,男,听古典音乐、看电影、写诗
39,126秒,无,有,我想玩〖萨克斯〗,会,我想画〖无意义的线条和点〗,茫然,不会,幻想过这种生活〖敲代码某种意义上也是一种艺术〗,大三,非艺术类专业,男,弹尤克里里
40,177秒,有,有,我想玩〖钢琴〗,不会,没有,会〖音乐〗,渴望,无,大四,非艺术类专业,女,随意涂鸦、唱歌
41,65秒,有,无,茫然,不会,我想画〖漫画〗,会〖游戏漫画〗,渴望,无,大二,非艺术类专业,男,打游戏
42,72秒,无,有,茫然,会,我想画〖什么都〗,会〖绘画 摄影 音乐〗,渴望,无,大三,非艺术类专业,男,摄影
43,87秒,有,有,我想玩〖琵琶〗,不会,没有,会〖音乐会，舞会〗,渴望,无,大一,非艺术类专业,女,听音乐
44,90秒,有,无,我想玩〖管风琴〗,不会,我想画〖人〗,会〖行为艺术表演艺术〗,渴望,无,大二,非艺术类专业,男,游戏艺术
45,64秒,有,有,我想玩〖钢琴〗,会,没有,会〖动手〗,渴望,无,大一,非艺术类专业,女,练字
46,58秒,有,无,我想玩〖吉他〗,不会,我想画〖喜欢的人〗,会〖摄影〗,渴望,无,大一,非艺术类专业,女,看电影
47,90秒,有,有,我想玩〖学会一首自己喜欢的曲子〗,不会,我想画〖山水〗,会〖踏青写生〗,不会,幻想过这种生活〖住在山里〗,大一,非艺术类专业,男,写字，爬山，出去玩
48,115秒,有,有,茫然,会,我想画〖一片海〗,茫然,渴望,无,大二,非艺术类专业,女,听live，现场听民谣，听相声
49,81秒,有,无,茫然,会,没有,茫然,渴望,无,大二,非艺术类专业,男,去看展览
50,55秒,有,有,我想玩〖钢琴啊〗,会,我想画〖宫村〗,会〖跳舞〗,渴望,无,大四,非艺术类专业,女,跳舞，狂跳舞
